GRanD ID= 610
Dam/Reservoir Name= Lake_Mead/Hoover
Approximated Geometry= Rectangular Prism
Mean Length (km)= 126.40
Mean Width (km)= 6.60
Mean Depth (m)= 63.20
Dam Height (m)= 211.85
Depth(m)	,	Area(skm)	,	Storage(mcm)	
105.80,412.69,9944.09
105.90,412.95,9961.01
106.00,413.21,9977.95
106.10,413.47,9994.90
106.20,413.73,10011.85
106.30,413.99,10028.82
106.40,414.25,10045.80
106.50,414.50,10062.79
106.60,414.76,10079.79
106.70,415.02,10096.80
106.80,415.28,10113.82
106.90,415.54,10130.85
107.00,415.79,10147.89
107.10,416.05,10164.95
107.20,416.31,10182.01
107.30,416.56,10199.08
107.40,416.82,10216.17
107.50,417.08,10233.26
107.60,417.33,10250.37
107.70,417.59,10267.49
107.80,417.84,10284.61
107.90,418.10,10301.75
108.00,418.35,10318.90
108.10,418.61,10336.05
108.20,418.86,10353.22
108.30,419.12,10370.40
108.40,419.37,10387.59
108.50,419.62,10404.79
108.60,419.88,10422.00
108.70,420.13,10439.22
108.80,420.38,10456.45
108.90,420.64,10473.69
109.00,420.89,10490.94
109.10,421.14,10508.20
109.20,421.39,10525.48
109.30,421.65,10542.76
109.40,421.90,10560.05
109.50,422.15,10577.35
109.60,422.40,10594.67
109.70,422.65,10611.99
109.80,422.90,10629.32
109.90,423.15,10646.67
110.00,423.40,10664.02
110.10,423.65,10681.39
110.20,423.90,10698.76
110.30,424.15,10716.15
110.40,424.40,10733.54
110.50,424.65,10750.95
110.60,424.90,10768.36
110.70,425.14,10785.79
110.80,425.39,10803.22
110.90,425.64,10820.67
111.00,425.89,10838.13
111.10,426.13,10855.59
111.20,426.38,10873.07
111.30,426.63,10890.56
111.40,426.88,10908.05
111.50,427.12,10925.56
111.60,427.37,10943.08
111.70,427.61,10960.60
111.80,427.86,10978.14
111.90,428.10,10995.69
112.00,428.35,11013.25
112.10,428.59,11030.81
112.20,428.84,11048.39
112.30,429.08,11065.98
112.40,429.33,11083.58
112.50,429.57,11101.18
112.60,429.82,11118.80
112.70,430.06,11136.43
112.80,430.30,11154.07
112.90,430.54,11171.71
113.00,430.79,11189.37
113.10,431.03,11207.04
113.20,431.27,11224.71
113.30,431.51,11242.40
113.40,431.76,11260.10
113.50,432.00,11277.81
113.60,432.24,11295.52
113.70,432.48,11313.25
113.80,432.72,11330.99
113.90,432.96,11348.73
114.00,433.20,11366.49
114.10,433.44,11384.25
114.20,433.68,11402.03
114.30,433.92,11419.82
114.40,434.16,11437.61
114.50,434.40,11455.42
114.60,434.64,11473.23
114.70,434.87,11491.06
114.80,435.11,11508.89
114.90,435.35,11526.74
115.00,435.59,11544.59
115.10,435.83,11562.46
115.20,436.06,11580.33
115.30,436.30,11598.21
115.40,436.54,11616.11
115.50,436.77,11634.01
115.60,437.01,11651.92
115.70,437.25,11669.84
115.80,437.48,11687.78
115.90,437.72,11705.72
116.00,437.95,11723.67
116.10,438.19,11741.63
116.20,438.42,11759.60
116.30,438.66,11777.58
116.40,438.89,11795.57
116.50,439.13,11813.57
116.60,439.36,11831.58
116.70,439.59,11849.60
116.80,439.83,11867.62
116.90,440.06,11885.66
117.00,440.29,11903.71
117.10,440.52,11921.77
117.20,440.76,11939.83
117.30,440.99,11957.91
117.40,441.22,11975.99
117.50,441.45,11994.09
117.60,441.68,12012.19
117.70,441.92,12030.31
117.80,442.15,12048.43
117.90,442.38,12066.56
118.00,442.61,12084.70
118.10,442.84,12102.86
118.20,443.07,12121.02
118.30,443.30,12139.19
118.40,443.53,12157.37
118.50,443.76,12175.56
118.60,443.98,12193.76
118.70,444.21,12211.96
118.80,444.44,12230.18
118.90,444.67,12248.41
119.00,444.90,12266.64
119.10,445.13,12284.89
119.20,445.35,12303.14
119.30,445.58,12321.41
119.40,445.81,12339.68
119.50,446.03,12357.96
119.60,446.26,12376.26
119.70,446.49,12394.56
119.80,446.71,12412.87
119.90,446.94,12431.19
120.00,447.16,12449.52
120.10,447.39,12467.86
120.20,447.61,12486.20
120.30,447.84,12504.56
120.40,448.06,12522.93
120.50,448.29,12541.30
120.60,448.51,12559.69
120.70,448.73,12578.08
120.80,448.96,12596.48
120.90,449.18,12614.89
121.00,449.40,12633.31
121.10,449.63,12651.74
121.20,449.85,12670.18
121.30,450.07,12688.63
121.40,450.29,12707.09
121.50,450.52,12725.56
121.60,450.74,12744.03
121.70,450.96,12762.52
121.80,451.18,12781.01
121.90,451.40,12799.51
122.00,451.62,12818.03
122.10,451.84,12836.55
122.20,452.06,12855.08
122.30,452.28,12873.62
122.40,452.50,12892.16
122.50,452.72,12910.72
122.60,452.94,12929.29
122.70,453.16,12947.86
122.80,453.38,12966.45
122.90,453.60,12985.04
123.00,453.81,13003.64
123.10,454.03,13022.25
123.20,454.25,13040.87
123.30,454.47,13059.50
123.40,454.68,13078.14
123.50,454.90,13096.78
123.60,455.12,13115.44
123.70,455.33,13134.10
123.80,455.55,13152.78
123.90,455.77,13171.46
124.00,455.98,13190.15
124.10,456.20,13208.85
124.20,456.41,13227.56
124.30,456.63,13246.27
124.40,456.84,13265.00
124.50,457.06,13283.74
124.60,457.27,13302.48
124.70,457.48,13321.23
124.80,457.70,13339.99
124.90,457.91,13358.76
125.00,458.12,13377.54
125.10,458.34,13396.33
125.20,458.55,13415.12
125.30,458.76,13433.93
125.40,458.97,13452.74
125.50,459.19,13471.57
125.60,459.40,13490.40
125.70,459.61,13509.24
125.80,459.82,13528.08
125.90,460.03,13546.94
126.00,460.24,13565.81
126.10,460.45,13584.68
126.20,460.66,13603.56
126.30,460.87,13622.46
126.40,461.08,13641.36
126.50,461.29,13660.26
126.60,461.50,13679.18
126.70,461.71,13698.11
126.80,461.92,13717.04
126.90,462.13,13735.98
127.00,462.34,13754.94
127.10,462.54,13773.90
127.20,462.75,13792.86
127.30,462.96,13811.84
127.40,463.17,13830.83
127.50,463.37,13849.82
127.60,463.58,13868.82
127.70,463.79,13887.84
127.80,463.99,13906.85
127.90,464.20,13925.88
128.00,464.41,13944.92
128.10,464.61,13963.96
128.20,464.82,13983.02
128.30,465.02,14002.08
128.40,465.23,14021.15
128.50,465.43,14040.23
128.60,465.64,14059.31
128.70,465.84,14078.41
128.80,466.04,14097.51
128.90,466.25,14116.63
129.00,466.45,14135.75
129.10,466.65,14154.87
129.20,466.86,14174.01
129.30,467.06,14193.16
129.40,467.26,14212.31
129.50,467.46,14231.47
129.60,467.67,14250.64
129.70,467.87,14269.82
129.80,468.07,14289.01
129.90,468.27,14308.20
130.00,468.47,14327.41
130.10,468.67,14346.62
130.20,468.87,14365.84
130.30,469.07,14385.06
130.40,469.27,14404.30
130.50,469.47,14423.54
130.60,469.67,14442.80
130.70,469.87,14462.06
130.80,470.07,14481.33
130.90,470.27,14500.60
131.00,470.47,14519.89
131.10,470.66,14539.18
131.20,470.86,14558.48
131.30,471.06,14577.79
131.40,471.26,14597.11
131.50,471.46,14616.44
131.60,471.65,14635.77
131.70,471.85,14655.11
131.80,472.05,14674.46
131.90,472.24,14693.82
132.00,472.44,14713.18
132.10,472.63,14732.56
132.20,472.83,14751.94
132.30,473.02,14771.33
132.40,473.22,14790.73
132.50,473.41,14810.13
132.60,473.61,14829.55
132.70,473.80,14848.97
132.80,474.00,14868.40
132.90,474.19,14887.84
133.00,474.38,14907.28
133.10,474.58,14926.74
133.20,474.77,14946.20
133.30,474.96,14965.67
133.40,475.16,14985.15
133.50,475.35,15004.63
133.60,475.54,15024.12
133.70,475.73,15043.63
133.80,475.92,15063.13
133.90,476.12,15082.65
134.00,476.31,15102.18
134.10,476.50,15121.71
134.20,476.69,15141.25
134.30,476.88,15160.80
134.40,477.07,15180.35
134.50,477.26,15199.92
134.60,477.45,15219.49
134.70,477.64,15239.07
134.80,477.83,15258.65
134.90,478.02,15278.25
135.00,478.20,15297.85
135.10,478.39,15317.46
135.20,478.58,15337.08
135.30,478.77,15356.71
135.40,478.96,15376.34
135.50,479.14,15395.98
135.60,479.33,15415.63
135.70,479.52,15435.28
135.80,479.70,15454.95
135.90,479.89,15474.62
136.00,480.08,15494.30
136.10,480.26,15513.99
136.20,480.45,15533.68
136.30,480.63,15553.38
136.40,480.82,15573.09
136.50,481.00,15592.81
136.60,481.19,15612.54
136.70,481.37,15632.27
136.80,481.56,15652.01
136.90,481.74,15671.76
137.00,481.93,15691.51
137.10,482.11,15711.27
137.20,482.29,15731.04
137.30,482.48,15750.82
137.40,482.66,15770.61
137.50,482.84,15790.40
137.60,483.02,15810.20
137.70,483.20,15830.01
137.80,483.39,15849.82
137.90,483.57,15869.65
138.00,483.75,15889.48
138.10,483.93,15909.31
138.20,484.11,15929.16
138.30,484.29,15949.01
138.40,484.47,15968.87
138.50,484.65,15988.74
138.60,484.83,16008.61
138.70,485.01,16028.49
138.80,485.19,16048.38
138.90,485.37,16068.28
139.00,485.55,16088.18
139.10,485.73,16108.09
139.20,485.91,16128.01
139.30,486.08,16147.94
139.40,486.26,16167.87
139.50,486.44,16187.81
139.60,486.62,16207.76
139.70,486.79,16227.71
139.80,486.97,16247.68
139.90,487.15,16267.65
140.00,487.32,16287.62
140.10,487.50,16307.61
140.20,487.68,16327.60
140.30,487.85,16347.60
140.40,488.03,16367.60
140.50,488.20,16387.61
140.60,488.38,16407.63
140.70,488.55,16427.66
140.80,488.73,16447.69
140.90,488.90,16467.74
141.00,489.07,16487.78
141.10,489.25,16507.84
141.20,489.42,16527.90
141.30,489.59,16547.97
141.40,489.77,16568.05
141.50,489.94,16588.13
141.60,490.11,16608.22
141.70,490.28,16628.32
141.80,490.46,16648.43
141.90,490.63,16668.54
142.00,490.80,16688.66
142.10,490.97,16708.79
142.20,491.14,16728.92
142.30,491.31,16749.06
142.40,491.48,16769.21
142.50,491.65,16789.36
142.60,491.82,16809.52
142.70,491.99,16829.69
142.80,492.16,16849.87
142.90,492.33,16870.05
143.00,492.50,16890.24
143.10,492.67,16910.43
143.20,492.84,16930.64
143.30,493.01,16950.84
143.40,493.17,16971.06
143.50,493.34,16991.29
143.60,493.51,17011.52
143.70,493.68,17031.75
143.80,493.84,17052.00
143.90,494.01,17072.25
144.00,494.18,17092.51
144.10,494.34,17112.77
144.20,494.51,17133.04
144.30,494.68,17153.32
144.40,494.84,17173.61
144.50,495.01,17193.90
144.60,495.17,17214.20
144.70,495.34,17234.50
144.80,495.50,17254.81
144.90,495.67,17275.13
145.00,495.83,17295.46
145.10,495.99,17315.79
145.20,496.16,17336.13
145.30,496.32,17356.48
145.40,496.48,17376.83
145.50,496.65,17397.19
145.60,496.81,17417.55
145.70,496.97,17437.93
145.80,497.13,17458.30
145.90,497.30,17478.69
146.00,497.46,17499.08
146.10,497.62,17519.48
146.20,497.78,17539.89
146.30,497.94,17560.30
146.40,498.10,17580.72
146.50,498.26,17601.14
146.60,498.42,17621.58
146.70,498.58,17642.01
146.80,498.74,17662.46
146.90,498.90,17682.91
147.00,499.06,17703.37
147.10,499.22,17723.83
147.20,499.38,17744.31
147.30,499.54,17764.78
147.40,499.69,17785.27
147.50,499.85,17805.76
147.60,500.01,17826.26
147.70,500.17,17846.76
147.80,500.32,17867.27
147.90,500.48,17887.79
148.00,500.64,17908.31
148.10,500.79,17928.84
148.20,500.95,17949.37
148.30,501.11,17969.92
148.40,501.26,17990.46
148.50,501.42,18011.02
148.60,501.57,18031.58
148.70,501.73,18052.15
148.80,501.88,18072.72
148.90,502.04,18093.30
149.00,502.19,18113.89
149.10,502.35,18134.48
149.20,502.50,18155.08
149.30,502.65,18175.69
149.40,502.81,18196.30
149.50,502.96,18216.92
149.60,503.11,18237.54
149.70,503.27,18258.17
149.80,503.42,18278.81
149.90,503.57,18299.45
150.00,503.72,18320.10
150.10,503.87,18340.76
150.20,504.02,18361.42
150.30,504.18,18382.09
150.40,504.33,18402.76
150.50,504.48,18423.44
150.60,504.63,18444.13
150.70,504.78,18464.82
150.80,504.93,18485.52
150.90,505.08,18506.23
151.00,505.23,18526.94
151.10,505.38,18547.65
151.20,505.52,18568.38
151.30,505.67,18589.11
151.40,505.82,18609.84
151.50,505.97,18630.59
151.60,506.12,18651.33
151.70,506.26,18672.09
151.80,506.41,18692.85
151.90,506.56,18713.61
152.00,506.71,18734.38
152.10,506.85,18755.16
152.20,507.00,18775.95
152.30,507.15,18796.74
152.40,507.29,18817.53
152.50,507.44,18838.33
152.60,507.58,18859.14
152.70,507.73,18879.96
152.80,507.87,18900.78
152.90,508.02,18921.60
153.00,508.16,18942.43
153.10,508.31,18963.27
153.20,508.45,18984.11
153.30,508.59,19004.96
153.40,508.74,19025.82
153.50,508.88,19046.68
153.60,509.02,19067.55
153.70,509.17,19088.42
153.80,509.31,19109.30
153.90,509.45,19130.18
154.00,509.59,19151.07
154.10,509.73,19171.97
154.20,509.88,19192.87
154.30,510.02,19213.78
154.40,510.16,19234.69
154.50,510.30,19255.61
154.60,510.44,19276.54
154.70,510.58,19297.47
154.80,510.72,19318.41
154.90,510.86,19339.35
155.00,511.00,19360.30
155.10,511.14,19381.25
155.20,511.28,19402.21
155.30,511.42,19423.18
155.40,511.56,19444.15
155.50,511.69,19465.12
155.60,511.83,19486.10
155.70,511.97,19507.09
155.80,512.11,19528.09
155.90,512.24,19549.09
156.00,512.38,19570.09
156.10,512.52,19591.10
156.20,512.66,19612.12
156.30,512.79,19633.14
156.40,512.93,19654.17
156.50,513.06,19675.20
156.60,513.20,19696.24
156.70,513.33,19717.28
156.80,513.47,19738.33
156.90,513.60,19759.39
157.00,513.74,19780.45
157.10,513.87,19801.51
157.20,514.01,19822.58
157.30,514.14,19843.66
157.40,514.28,19864.74
157.50,514.41,19885.83
157.60,514.54,19906.92
157.70,514.67,19928.02
157.80,514.81,19949.13
157.90,514.94,19970.24
158.00,515.07,19991.35
158.10,515.20,20012.47
158.20,515.34,20033.60
158.30,515.47,20054.73
158.40,515.60,20075.87
158.50,515.73,20097.01
158.60,515.86,20118.16
158.70,515.99,20139.31
158.80,516.12,20160.47
158.90,516.25,20181.63
159.00,516.38,20202.80
159.10,516.51,20223.98
159.20,516.64,20245.16
159.30,516.77,20266.34
159.40,516.90,20287.53
159.50,517.03,20308.73
159.60,517.15,20329.93
159.70,517.28,20351.13
159.80,517.41,20372.34
159.90,517.54,20393.56
160.00,517.66,20414.78
160.10,517.79,20436.01
160.20,517.92,20457.24
160.30,518.04,20478.48
160.40,518.17,20499.72
160.50,518.30,20520.97
160.60,518.42,20542.22
160.70,518.55,20563.48
160.80,518.67,20584.74
160.90,518.80,20606.01
161.00,518.92,20627.28
161.10,519.05,20648.56
161.20,519.17,20669.85
161.30,519.30,20691.13
161.40,519.42,20712.43
161.50,519.54,20733.73
161.60,519.67,20755.03
161.70,519.79,20776.34
161.80,519.91,20797.65
161.90,520.04,20818.97
162.00,520.16,20840.30
162.10,520.28,20861.63
162.20,520.40,20882.96
162.30,520.52,20904.30
162.40,520.65,20925.64
162.50,520.77,20946.99
162.60,520.89,20968.35
162.70,521.01,20989.70
162.80,521.13,21011.07
162.90,521.25,21032.44
163.00,521.37,21053.81
163.10,521.49,21075.19
163.20,521.61,21096.57
163.30,521.73,21117.96
163.40,521.85,21139.35
163.50,521.96,21160.75
163.60,522.08,21182.16
163.70,522.20,21203.56
163.80,522.32,21224.98
163.90,522.44,21246.39
164.00,522.55,21267.82
164.10,522.67,21289.24
164.20,522.79,21310.67
164.30,522.91,21332.11
164.40,523.02,21353.55
164.50,523.14,21375.00
164.60,523.25,21396.45
164.70,523.37,21417.91
164.80,523.49,21439.37
164.90,523.60,21460.83
165.00,523.72,21482.30
165.10,523.83,21503.78
165.20,523.94,21525.26
165.30,524.06,21546.74
165.40,524.17,21568.23
165.50,524.29,21589.72
165.60,524.40,21611.22
165.70,524.51,21632.72
165.80,524.63,21654.23
165.90,524.74,21675.74
166.00,524.85,21697.26
166.10,524.96,21718.78
166.20,525.08,21740.31
166.30,525.19,21761.84
166.40,525.30,21783.37
166.50,525.41,21804.91
166.60,525.52,21826.46
166.70,525.63,21848.00
166.80,525.74,21869.56
166.90,525.85,21891.11
167.00,525.96,21912.68
167.10,526.07,21934.24
167.20,526.18,21955.82
167.30,526.29,21977.39
167.40,526.40,21998.97
167.50,526.51,22020.56
167.60,526.62,22042.14
167.70,526.73,22063.74
167.80,526.84,22085.34
167.90,526.94,22106.94
168.00,527.05,22128.55
168.10,527.16,22150.16
168.20,527.27,22171.77
168.30,527.37,22193.39
168.40,527.48,22215.02
168.50,527.59,22236.65
168.60,527.69,22258.28
168.70,527.80,22279.92
168.80,527.90,22301.56
168.90,528.01,22323.21
169.00,528.11,22344.86
169.10,528.22,22366.51
169.20,528.32,22388.17
169.30,528.43,22409.83
169.40,528.53,22431.50
169.50,528.64,22453.17
169.60,528.74,22474.85
169.70,528.84,22496.53
169.80,528.95,22518.21
169.90,529.05,22539.90
170.00,529.15,22561.60
170.10,529.26,22583.29
170.20,529.36,22605.00
170.30,529.46,22626.70
170.40,529.56,22648.41
170.50,529.66,22670.13
170.60,529.76,22691.84
170.70,529.87,22713.57
170.80,529.97,22735.29
170.90,530.07,22757.02
171.00,530.17,22778.76
171.10,530.27,22800.50
171.20,530.37,22822.24
171.30,530.47,22843.99
171.40,530.57,22865.74
171.50,530.66,22887.49
171.60,530.76,22909.25
171.70,530.86,22931.02
171.80,530.96,22952.78
171.90,531.06,22974.55
172.00,531.16,22996.33
172.10,531.25,23018.11
172.20,531.35,23039.89
172.30,531.45,23061.68
172.40,531.54,23083.47
172.50,531.64,23105.27
172.60,531.74,23127.07
172.70,531.83,23148.87
172.80,531.93,23170.68
172.90,532.03,23192.49
173.00,532.12,23214.30
173.10,532.22,23236.12
173.20,532.31,23257.94
173.30,532.41,23279.77
173.40,532.50,23301.60
173.50,532.59,23323.44
173.60,532.69,23345.27
173.70,532.78,23367.12
173.80,532.87,23388.96
173.90,532.97,23410.81
174.00,533.06,23432.67
174.10,533.15,23454.52
174.20,533.25,23476.38
174.30,533.34,23498.25
174.40,533.43,23520.12
174.50,533.52,23541.99
174.60,533.61,23563.87
174.70,533.70,23585.75
174.80,533.80,23607.63
174.90,533.89,23629.52
175.00,533.98,23651.41
175.10,534.07,23673.30
175.20,534.16,23695.20
175.30,534.25,23717.10
175.40,534.34,23739.01
175.50,534.43,23760.92
175.60,534.51,23782.83
175.70,534.60,23804.75
175.80,534.69,23826.67
175.90,534.78,23848.60
176.00,534.87,23870.52
176.10,534.96,23892.45
176.20,535.04,23914.39
176.30,535.13,23936.33
176.40,535.22,23958.27
176.50,535.30,23980.22
176.60,535.39,24002.16
176.70,535.48,24024.12
176.80,535.56,24046.07
176.90,535.65,24068.03
177.00,535.73,24090.00
177.10,535.82,24111.96
177.20,535.90,24133.93
177.30,535.99,24155.91
177.40,536.07,24177.89
177.50,536.16,24199.87
177.60,536.24,24221.85
177.70,536.33,24243.84
177.80,536.41,24265.83
177.90,536.49,24287.82
178.00,536.58,24309.82
178.10,536.66,24331.82
178.20,536.74,24353.83
178.30,536.82,24375.84
178.40,536.91,24397.85
178.50,536.99,24419.86
178.60,537.07,24441.88
178.70,537.15,24463.90
178.80,537.23,24485.93
178.90,537.31,24507.95
179.00,537.39,24529.99
179.10,537.47,24552.02
179.20,537.55,24574.06
179.30,537.63,24596.10
179.40,537.71,24618.15
179.50,537.79,24640.19
179.60,537.87,24662.24
179.70,537.95,24684.30
179.80,538.03,24706.36
179.90,538.11,24728.42
180.00,538.19,24750.48
180.10,538.26,24772.55
180.20,538.34,24794.62
180.30,538.42,24816.69
180.40,538.50,24838.77
180.50,538.57,24860.85
180.60,538.65,24882.93
180.70,538.73,24905.02
180.80,538.80,24927.11
180.90,538.88,24949.20
181.00,538.95,24971.30
181.10,539.03,24993.39
181.20,539.11,25015.50
181.30,539.18,25037.60
181.40,539.26,25059.71
181.50,539.33,25081.82
181.60,539.40,25103.93
181.70,539.48,25126.05
181.80,539.55,25148.17
181.90,539.63,25170.29
182.00,539.70,25192.42
182.10,539.77,25214.55
182.20,539.84,25236.68
182.30,539.92,25258.82
182.40,539.99,25280.96
182.50,540.06,25303.10
182.60,540.13,25325.24
182.70,540.20,25347.39
182.80,540.28,25369.54
182.90,540.35,25391.69
183.00,540.42,25413.85
183.10,540.49,25436.00
183.20,540.56,25458.17
183.30,540.63,25480.33
183.40,540.70,25502.50
183.50,540.77,25524.67
183.60,540.84,25546.84
183.70,540.91,25569.02
183.80,540.98,25591.19
183.90,541.04,25613.38
184.00,541.11,25635.56
184.10,541.18,25657.75
184.20,541.25,25679.94
184.30,541.32,25702.13
184.40,541.38,25724.32
184.50,541.45,25746.52
184.60,541.52,25768.72
184.70,541.58,25790.93
184.80,541.65,25813.13
184.90,541.72,25835.34
185.00,541.78,25857.55
185.10,541.85,25879.77
185.20,541.91,25901.99
185.30,541.98,25924.21
185.40,542.04,25946.43
185.50,542.11,25968.65
185.60,542.17,25990.88
185.70,542.24,26013.11
185.80,542.30,26035.34
185.90,542.36,26057.58
186.00,542.43,26079.82
186.10,542.49,26102.06
186.20,542.55,26124.30
186.30,542.62,26146.55
186.40,542.68,26168.80
186.50,542.74,26191.05
186.60,542.80,26213.30
186.70,542.87,26235.56
186.80,542.93,26257.82
186.90,542.99,26280.08
187.00,543.05,26302.34
187.10,543.11,26324.61
187.20,543.17,26346.88
187.30,543.23,26369.15
187.40,543.29,26391.42
187.50,543.35,26413.70
187.60,543.41,26435.98
187.70,543.47,26458.26
187.80,543.53,26480.54
187.90,543.59,26502.83
188.00,543.65,26525.12
188.10,543.70,26547.41
188.20,543.76,26569.70
188.30,543.82,26591.99
188.40,543.88,26614.29
188.50,543.94,26636.59
188.60,543.99,26658.90
188.70,544.05,26681.20
188.80,544.11,26703.51
188.90,544.16,26725.82
189.00,544.22,26748.13
189.10,544.27,26770.44
189.20,544.33,26792.76
189.30,544.38,26815.08
189.40,544.44,26837.40
189.50,544.49,26859.72
189.60,544.55,26882.05
189.70,544.60,26904.37
189.80,544.66,26926.70
189.90,544.71,26949.04
190.00,544.77,26971.37
190.10,544.82,26993.71
190.20,544.87,27016.05
190.30,544.92,27038.39
190.40,544.98,27060.73
190.50,545.03,27083.08
190.60,545.08,27105.42
190.70,545.13,27127.77
190.80,545.19,27150.12
190.90,545.24,27172.48
191.00,545.29,27194.83
191.10,545.34,27217.19
191.20,545.39,27239.55
191.30,545.44,27261.91
191.40,545.49,27284.28
191.50,545.54,27306.64
191.60,545.59,27329.01
191.70,545.64,27351.38
191.80,545.69,27373.75
191.90,545.74,27396.13
192.00,545.79,27418.50
192.10,545.84,27440.88
192.20,545.88,27463.26
192.30,545.93,27485.64
192.40,545.98,27508.03
192.50,546.03,27530.41
192.60,546.07,27552.80
192.70,546.12,27575.19
192.80,546.17,27597.58
192.90,546.21,27619.98
193.00,546.26,27642.37
193.10,546.31,27664.77
193.20,546.35,27687.17
193.30,546.40,27709.57
193.40,546.44,27731.98
193.50,546.49,27754.38
193.60,546.53,27776.79
193.70,546.58,27799.20
193.80,546.62,27821.61
193.90,546.67,27844.02
194.00,546.71,27866.43
194.10,546.75,27888.85
194.20,546.80,27911.27
194.30,546.84,27933.69
194.40,546.88,27956.11
194.50,546.92,27978.53
194.60,546.97,28000.96
194.70,547.01,28023.38
194.80,547.05,28045.81
194.90,547.09,28068.24
195.00,547.13,28090.67
195.10,547.18,28113.11
195.20,547.22,28135.54
195.30,547.26,28157.98
195.40,547.30,28180.42
195.50,547.34,28202.86
195.60,547.38,28225.30
195.70,547.42,28247.74
195.80,547.46,28270.19
195.90,547.50,28292.63
196.00,547.53,28315.08
196.10,547.57,28337.53
196.20,547.61,28359.98
196.30,547.65,28382.43
196.40,547.69,28404.89
196.50,547.73,28427.35
196.60,547.76,28449.80
196.70,547.80,28472.26
196.80,547.84,28494.72
196.90,547.87,28517.18
197.00,547.91,28539.65
197.10,547.95,28562.11
197.20,547.98,28584.58
197.30,548.02,28607.05
197.40,548.05,28629.52
197.50,548.09,28651.99
197.60,548.12,28674.46
197.70,548.16,28696.93
197.80,548.19,28719.41
197.90,548.23,28741.89
198.00,548.26,28764.36
198.10,548.29,28786.84
198.20,548.33,28809.32
198.30,548.36,28831.81
198.40,548.39,28854.29
198.50,548.43,28876.77
198.60,548.46,28899.26
198.70,548.49,28921.75
198.80,548.52,28944.24
198.90,548.56,28966.73
199.00,548.59,28989.22
199.10,548.62,29011.71
199.20,548.65,29034.21
199.30,548.68,29056.70
199.40,548.71,29079.20
199.50,548.74,29101.69
199.60,548.77,29124.19
199.70,548.80,29146.69
199.80,548.83,29169.20
199.90,548.86,29191.70
200.00,548.89,29214.20
200.10,548.92,29236.71
200.20,548.95,29259.21
200.30,548.98,29281.72
200.40,549.00,29304.23
200.50,549.03,29326.74
200.60,549.06,29349.25
200.70,549.09,29371.76
200.80,549.11,29394.27
200.90,549.14,29416.79
201.00,549.17,29439.30
201.10,549.19,29461.82
201.20,549.22,29484.34
201.30,549.25,29506.86
201.40,549.27,29529.38
201.50,549.30,29551.90
201.60,549.32,29574.42
201.70,549.35,29596.94
201.80,549.37,29619.46
201.90,549.40,29641.99
202.00,549.42,29664.52
202.10,549.44,29687.04
202.20,549.47,29709.57
202.30,549.49,29732.10
202.40,549.51,29754.63
202.50,549.54,29777.16
202.60,549.56,29799.69
202.70,549.58,29822.22
202.80,549.60,29844.76
202.90,549.63,29867.29
203.00,549.65,29889.82
203.10,549.67,29912.36
203.20,549.69,29934.90
203.30,549.71,29957.44
203.40,549.73,29979.97
203.50,549.75,30002.51
203.60,549.77,30025.05
203.70,549.79,30047.60
203.80,549.81,30070.14
203.90,549.83,30092.68
204.00,549.85,30115.22
204.10,549.87,30137.77
204.20,549.89,30160.31
204.30,549.91,30182.86
204.40,549.93,30205.41
204.50,549.94,30227.95
204.60,549.96,30250.50
204.70,549.98,30273.05
204.80,550.00,30295.60
204.90,550.01,30318.15
205.00,550.03,30340.70
205.10,550.05,30363.25
205.20,550.06,30385.80
205.30,550.08,30408.36
205.40,550.10,30430.91
205.50,550.11,30453.46
205.60,550.13,30476.02
205.70,550.14,30498.57
205.80,550.16,30521.13
205.90,550.17,30543.69
206.00,550.19,30566.25
206.10,550.20,30588.80
206.20,550.21,30611.36
206.30,550.23,30633.92
206.40,550.24,30656.48
206.50,550.25,30679.04
206.60,550.27,30701.60
206.70,550.28,30724.16
206.80,550.29,30746.72
206.90,550.30,30769.29
207.00,550.32,30791.85
207.10,550.33,30814.41
207.20,550.34,30836.98
207.30,550.35,30859.54
207.40,550.36,30882.10
207.50,550.37,30904.67
207.60,550.38,30927.23
207.70,550.39,30949.80
207.80,550.40,30972.37
207.90,550.41,30994.93
208.00,550.42,31017.50
208.10,550.43,31040.07
208.20,550.44,31062.64
208.30,550.45,31085.20
208.40,550.46,31107.77
208.50,550.46,31130.34
208.60,550.47,31152.91
208.70,550.48,31175.48
208.80,550.49,31198.05
208.90,550.50,31220.62
209.00,550.50,31243.19
209.10,550.51,31265.76
209.20,550.52,31288.33
209.30,550.52,31310.90
209.40,550.53,31333.48
209.50,550.53,31356.05
209.60,550.54,31378.62
209.70,550.54,31401.19
209.80,550.55,31423.76
209.90,550.55,31446.34
210.00,550.56,31468.91
210.10,550.56,31491.48
210.20,550.57,31514.06
210.30,550.57,31536.63
210.40,550.57,31559.20
210.50,550.58,31581.78
210.60,550.58,31604.35
210.70,550.58,31626.92
210.80,550.59,31649.50
210.90,550.59,31672.07
211.00,550.59,31694.65
211.10,550.59,31717.22
211.20,550.59,31739.79
211.30,550.60,31762.37
211.40,550.60,31784.94
211.50,550.60,31807.52
211.60,550.60,31830.09
211.70,550.60,31852.67
211.80,550.60,31875.24
