GRanD ID= 610
Dam/Reservoir Name= Lake_Mead/Hoover
Approximated Geometry= Rectangular Prism
Mean Length (km)= 126.40
Mean Width (km)= 6.60
Mean Depth (m)= 63.20
Dam Height (m)= 211.85
Depth(m)	,	Area(skm)	,	Storage(mcm)	
25.50,124.60,665.25
25.60,125.06,670.37
25.70,125.51,675.50
25.80,125.97,680.66
25.90,126.43,685.83
26.00,126.88,691.03
26.10,127.34,696.24
26.20,127.79,701.47
26.30,128.25,706.72
26.40,128.71,711.98
26.50,129.16,717.27
26.60,129.61,722.58
26.70,130.07,727.90
26.80,130.52,733.24
26.90,130.98,738.60
27.00,131.43,743.98
27.10,131.89,749.38
27.20,132.34,754.80
27.30,132.79,760.23
27.40,133.24,765.69
27.50,133.70,771.16
27.60,134.15,776.65
27.70,134.60,782.16
27.80,135.05,787.69
27.90,135.50,793.23
28.00,135.96,798.80
28.10,136.41,804.38
28.20,136.86,809.98
28.30,137.31,815.60
28.40,137.76,821.24
28.50,138.21,826.90
28.60,138.66,832.57
28.70,139.11,838.27
28.80,139.56,843.98
28.90,140.01,849.71
29.00,140.46,855.46
29.10,140.90,861.23
29.20,141.35,867.02
29.30,141.80,872.82
29.40,142.25,878.64
29.50,142.70,884.49
29.60,143.14,890.34
29.70,143.59,896.22
29.80,144.04,902.12
29.90,144.48,908.03
30.00,144.93,913.97
30.10,145.38,919.92
30.20,145.82,925.89
30.30,146.27,931.88
30.40,146.71,937.88
30.50,147.16,943.91
30.60,147.60,949.95
30.70,148.05,956.01
30.80,148.49,962.09
30.90,148.94,968.19
31.00,149.38,974.30
31.10,149.82,980.44
31.20,150.27,986.59
31.30,150.71,992.76
31.40,151.15,998.95
31.50,151.60,1005.15
31.60,152.04,1011.38
31.70,152.48,1017.62
31.80,152.92,1023.88
31.90,153.37,1030.16
32.00,153.81,1036.46
32.10,154.25,1042.77
32.20,154.69,1049.10
32.30,155.13,1055.46
32.40,155.57,1061.82
32.50,156.01,1068.21
32.60,156.45,1074.62
32.70,156.89,1081.04
32.80,157.33,1087.48
32.90,157.77,1093.94
33.00,158.21,1100.42
33.10,158.65,1106.92
33.20,159.09,1113.43
33.30,159.52,1119.96
33.40,159.96,1126.51
33.50,160.40,1133.08
33.60,160.84,1139.66
33.70,161.27,1146.27
33.80,161.71,1152.89
33.90,162.15,1159.53
34.00,162.59,1166.18
34.10,163.02,1172.86
34.20,163.46,1179.55
34.30,163.89,1186.26
34.40,164.33,1192.99
34.50,164.76,1199.74
34.60,165.20,1206.50
34.70,165.63,1213.28
34.80,166.07,1220.08
34.90,166.50,1226.90
35.00,166.94,1233.74
35.10,167.37,1240.59
35.20,167.81,1247.46
35.30,168.24,1254.35
35.40,168.67,1261.26
35.50,169.10,1268.18
35.60,169.54,1275.12
35.70,169.97,1282.08
35.80,170.40,1289.06
35.90,170.83,1296.06
36.00,171.27,1303.07
36.10,171.70,1310.10
36.20,172.13,1317.15
36.30,172.56,1324.21
36.40,172.99,1331.30
36.50,173.42,1338.40
36.60,173.85,1345.52
36.70,174.28,1352.65
36.80,174.71,1359.81
36.90,175.14,1366.98
37.00,175.57,1374.17
37.10,176.00,1381.38
37.20,176.43,1388.60
37.30,176.85,1395.84
37.40,177.28,1403.10
37.50,177.71,1410.38
37.60,178.14,1417.68
37.70,178.57,1424.99
37.80,178.99,1432.32
37.90,179.42,1439.67
38.00,179.85,1447.03
38.10,180.27,1454.41
38.20,180.70,1461.81
38.30,181.13,1469.23
38.40,181.55,1476.67
38.50,181.98,1484.12
38.60,182.40,1491.59
38.70,182.83,1499.08
38.80,183.25,1506.58
38.90,183.68,1514.10
39.00,184.10,1521.64
39.10,184.53,1529.20
39.20,184.95,1536.77
39.30,185.37,1544.36
39.40,185.80,1551.97
39.50,186.22,1559.60
39.60,186.64,1567.24
39.70,187.06,1574.90
39.80,187.49,1582.58
39.90,187.91,1590.28
40.00,188.33,1597.99
40.10,188.75,1605.72
40.20,189.17,1613.47
40.30,189.60,1621.23
40.40,190.02,1629.02
40.50,190.44,1636.81
40.60,190.86,1644.63
40.70,191.28,1652.47
40.80,191.70,1660.32
40.90,192.12,1668.18
41.00,192.54,1676.07
41.10,192.96,1683.97
41.20,193.37,1691.89
41.30,193.79,1699.83
41.40,194.21,1707.78
41.50,194.63,1715.75
41.60,195.05,1723.74
41.70,195.46,1731.75
41.80,195.88,1739.77
41.90,196.30,1747.81
42.00,196.72,1755.87
42.10,197.13,1763.94
42.20,197.55,1772.03
42.30,197.97,1780.14
42.40,198.38,1788.27
42.50,198.80,1796.41
42.60,199.21,1804.57
42.70,199.63,1812.74
42.80,200.04,1820.94
42.90,200.46,1829.15
43.00,200.87,1837.37
43.10,201.29,1845.62
43.20,201.70,1853.88
43.30,202.11,1862.16
43.40,202.53,1870.45
43.50,202.94,1878.76
43.60,203.35,1887.09
43.70,203.77,1895.44
43.80,204.18,1903.80
43.90,204.59,1912.18
44.00,205.00,1920.58
44.10,205.42,1928.99
44.20,205.83,1937.42
44.30,206.24,1945.87
44.40,206.65,1954.33
44.50,207.06,1962.82
44.60,207.47,1971.31
44.70,207.88,1979.83
44.80,208.29,1988.36
44.90,208.70,1996.91
45.00,209.11,2005.47
45.10,209.52,2014.06
45.20,209.93,2022.65
45.30,210.34,2031.27
45.40,210.75,2039.90
45.50,211.15,2048.55
45.60,211.56,2057.22
45.70,211.97,2065.90
45.80,212.38,2074.60
45.90,212.79,2083.31
46.00,213.19,2092.05
46.10,213.60,2100.80
46.20,214.01,2109.56
46.30,214.41,2118.34
46.40,214.82,2127.14
46.50,215.22,2135.96
46.60,215.63,2144.79
46.70,216.04,2153.64
46.80,216.44,2162.51
46.90,216.85,2171.39
47.00,217.25,2180.29
47.10,217.66,2189.20
47.20,218.06,2198.14
47.30,218.46,2207.08
47.40,218.87,2216.05
47.50,219.27,2225.03
47.60,219.67,2234.03
47.70,220.08,2243.05
47.80,220.48,2252.08
47.90,220.88,2261.12
48.00,221.28,2270.19
48.10,221.69,2279.27
48.20,222.09,2288.37
48.30,222.49,2297.48
48.40,222.89,2306.61
48.50,223.29,2315.76
48.60,223.69,2324.92
48.70,224.09,2334.10
48.80,224.49,2343.30
48.90,224.89,2352.51
49.00,225.29,2361.74
49.10,225.69,2370.98
49.20,226.09,2380.24
49.30,226.49,2389.52
49.40,226.89,2398.82
49.50,227.29,2408.13
49.60,227.69,2417.45
49.70,228.08,2426.80
49.80,228.48,2436.16
49.90,228.88,2445.53
50.00,229.28,2454.93
50.10,229.67,2464.33
50.20,230.07,2473.76
50.30,230.47,2483.20
50.40,230.86,2492.66
50.50,231.26,2502.13
50.60,231.66,2511.62
50.70,232.05,2521.13
50.80,232.45,2530.65
50.90,232.84,2540.19
51.00,233.24,2549.74
51.10,233.63,2559.31
51.20,234.03,2568.90
51.30,234.42,2578.50
51.40,234.81,2588.12
51.50,235.21,2597.76
51.60,235.60,2607.41
51.70,235.99,2617.08
51.80,236.39,2626.76
51.90,236.78,2636.46
52.00,237.17,2646.18
52.10,237.56,2655.91
52.20,237.96,2665.66
52.30,238.35,2675.42
52.40,238.74,2685.20
52.50,239.13,2695.00
52.60,239.52,2704.81
52.70,239.91,2714.64
52.80,240.30,2724.48
52.90,240.69,2734.34
53.00,241.08,2744.22
53.10,241.47,2754.11
53.20,241.86,2764.02
53.30,242.25,2773.94
53.40,242.64,2783.88
53.50,243.03,2793.84
53.60,243.42,2803.81
53.70,243.80,2813.80
53.80,244.19,2823.80
53.90,244.58,2833.82
54.00,244.97,2843.86
54.10,245.35,2853.91
54.20,245.74,2863.98
54.30,246.13,2874.06
54.40,246.52,2884.16
54.50,246.90,2894.28
54.60,247.29,2904.41
54.70,247.67,2914.55
54.80,248.06,2924.72
54.90,248.44,2934.89
55.00,248.83,2945.09
55.10,249.21,2955.30
55.20,249.60,2965.52
55.30,249.98,2975.77
55.40,250.37,2986.02
55.50,250.75,2996.30
55.60,251.13,3006.58
55.70,251.52,3016.89
55.80,251.90,3027.21
55.90,252.28,3037.54
56.00,252.67,3047.90
56.10,253.05,3058.26
56.20,253.43,3068.65
56.30,253.81,3079.04
56.40,254.19,3089.46
56.50,254.58,3099.89
56.60,254.96,3110.33
56.70,255.34,3120.79
56.80,255.72,3131.27
56.90,256.10,3141.76
57.00,256.48,3152.27
57.10,256.86,3162.79
57.20,257.24,3173.33
57.30,257.62,3183.89
57.40,258.00,3194.46
57.50,258.38,3205.04
57.60,258.75,3215.64
57.70,259.13,3226.26
57.80,259.51,3236.89
57.90,259.89,3247.54
58.00,260.27,3258.20
58.10,260.64,3268.88
58.20,261.02,3279.58
58.30,261.40,3290.29
58.40,261.77,3301.01
58.50,262.15,3311.75
58.60,262.53,3322.51
58.70,262.90,3333.28
58.80,263.28,3344.07
58.90,263.65,3354.87
59.00,264.03,3365.69
59.10,264.40,3376.52
59.20,264.78,3387.37
59.30,265.15,3398.23
59.40,265.53,3409.11
59.50,265.90,3420.00
59.60,266.28,3430.91
59.70,266.65,3441.84
59.80,267.02,3452.78
59.90,267.39,3463.73
60.00,267.77,3474.70
60.10,268.14,3485.69
60.20,268.51,3496.69
60.30,268.88,3507.71
60.40,269.26,3518.74
60.50,269.63,3529.79
60.60,270.00,3540.85
60.70,270.37,3551.93
60.80,270.74,3563.02
60.90,271.11,3574.13
61.00,271.48,3585.25
61.10,271.85,3596.39
61.20,272.22,3607.54
61.30,272.59,3618.71
61.40,272.96,3629.90
61.50,273.33,3641.10
61.60,273.70,3652.31
61.70,274.07,3663.54
61.80,274.44,3674.78
61.90,274.80,3686.04
62.00,275.17,3697.32
62.10,275.54,3708.61
62.20,275.91,3719.91
62.30,276.27,3731.23
62.40,276.64,3742.57
62.50,277.01,3753.91
62.60,277.37,3765.28
62.70,277.74,3776.66
62.80,278.11,3788.05
62.90,278.47,3799.46
63.00,278.84,3810.89
63.10,279.20,3822.33
63.20,279.57,3833.78
63.30,279.93,3845.25
63.40,280.30,3856.74
63.50,280.66,3868.24
63.60,281.02,3879.75
63.70,281.39,3891.28
63.80,281.75,3902.83
63.90,282.11,3914.38
64.00,282.48,3925.96
64.10,282.84,3937.55
64.20,283.20,3949.15
64.30,283.56,3960.77
64.40,283.93,3972.40
64.50,284.29,3984.05
64.60,284.65,3995.72
64.70,285.01,4007.39
64.80,285.37,4019.09
64.90,285.73,4030.79
65.00,286.09,4042.52
65.10,286.45,4054.25
65.20,286.81,4066.01
65.30,287.17,4077.77
65.40,287.53,4089.55
65.50,287.89,4101.35
65.60,288.25,4113.16
65.70,288.61,4124.99
65.80,288.97,4136.83
65.90,289.33,4148.68
66.00,289.68,4160.55
66.10,290.04,4172.44
66.20,290.40,4184.34
66.30,290.76,4196.25
66.40,291.11,4208.18
66.50,291.47,4220.12
66.60,291.83,4232.08
66.70,292.18,4244.05
66.80,292.54,4256.04
66.90,292.90,4268.04
67.00,293.25,4280.05
67.10,293.61,4292.08
67.20,293.96,4304.13
67.30,294.32,4316.19
67.40,294.67,4328.26
67.50,295.02,4340.35
67.60,295.38,4352.46
67.70,295.73,4364.57
67.80,296.09,4376.71
67.90,296.44,4388.85
68.00,296.79,4401.01
68.10,297.15,4413.19
68.20,297.50,4425.38
68.30,297.85,4437.58
68.40,298.20,4449.80
68.50,298.55,4462.04
68.60,298.91,4474.29
68.70,299.26,4486.55
68.80,299.61,4498.82
68.90,299.96,4511.12
69.00,300.31,4523.42
69.10,300.66,4535.74
69.20,301.01,4548.08
69.30,301.36,4560.42
69.40,301.71,4572.79
69.50,302.06,4585.16
69.60,302.41,4597.56
69.70,302.76,4609.96
69.80,303.11,4622.38
69.90,303.46,4634.82
70.00,303.80,4647.27
70.10,304.15,4659.73
70.20,304.50,4672.21
70.30,304.85,4684.70
70.40,305.19,4697.20
70.50,305.54,4709.72
70.60,305.89,4722.26
70.70,306.23,4734.81
70.80,306.58,4747.37
70.90,306.93,4759.95
71.00,307.27,4772.54
71.10,307.62,4785.14
71.20,307.96,4797.76
71.30,308.31,4810.40
71.40,308.65,4823.04
71.50,309.00,4835.70
71.60,309.34,4848.38
71.70,309.69,4861.07
71.80,310.03,4873.77
71.90,310.37,4886.49
72.00,310.72,4899.23
72.10,311.06,4911.97
72.20,311.40,4924.73
72.30,311.74,4937.51
72.40,312.09,4950.30
72.50,312.43,4963.10
72.60,312.77,4975.91
72.70,313.11,4988.75
72.80,313.45,5001.59
72.90,313.80,5014.45
73.00,314.14,5027.32
73.10,314.48,5040.21
73.20,314.82,5053.11
73.30,315.16,5066.02
73.40,315.50,5078.95
